PG Name,Address,Contact No,Map Link
Akshay's Mens PG Hostel,"
28 Akshay Telecom colony, Akoli Rd, Amravati, Maharashtra 444605",NA,"https://www.google.com/maps/place/Akshay's+Mens+PG+Hostel/@20.911249,77.6680852,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6bb4d62978b69:0xa09b22b5c53883ca!8m2!3d20.911249!4d77.740183!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYY1MxNmVUaFJSUkFC4AEA-gEECAAQMA!16s%2Fg%2F11fqbhg2z9?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Subhadra PG Hostel,"
Subhadra Mansion, Anandwadi, opp. Essar Petrol Pump, near Deshmukh Hardware, Amravati, Maharashtra 444604",NA,"https://www.google.com/maps/place/Subhadra+PG+Hostel/@20.9700862,77.6848157,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a33d1888c7e1:0x561d40d371758eb!8m2!3d20.9700862!4d77.7569135!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBEXN0dWRlbnRfZG9ybWl0b3J5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4xTUU5ZmNIUlJSUkFC4AEA-gEECAAQOQ!16s%2Fg%2F11s3b4vxpk?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Subhadra PG Hostel and Home stay,"
Vithai Nagar, ANANDWADI, Amravati, Maharashtra 444604","
099694 63047","https://www.google.com/maps/place/Subhadra+PG+Hostel+and+Home+stay/@20.9700862,77.6848157,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a36379670b15:0x479fa106e251570d!8m2!3d20.969874!4d77.7569659!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBEXN0dWRlbnRfZG9ybWl0b3J5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xZFdKWFdVTkJFQUXgAQD6AQQIABAv!16s%2Fg%2F11rqsvhxtz?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
JanVijaya,"
WQX9+6QR, Prerana Colony Rd, Radha Nagar, Gadge Nagar, Amravati, Maharashtra 444603",NA,"https://www.google.com/maps/place/JanVijaya/@20.9700862,77.6848157,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a30047adbf2f:0xe0234a55a27f146f!8m2!3d20.9481111!4d77.7693834!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUNibEZzUmxoa1dGSTBUakpPVkZwV09YZGxWbFpHWlVWMFNsVlhZeEFC4AEA-gEECAAQSQ!16s%2Fg%2F11vzbn17y8?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Sanskar Girls' Hostel Best Private PG /Hostel in Amravati,"
1, 28,Deep Nagar, no.1, near dastur nagar, SBI, Chhatri Talao Rd, Daulat Deep Nagar, Bapu Colony, Amravati, Maharashtra 444606","
094229 90247","https://www.google.com/maps/place/Sanskar+Girls'+Hostel+Best+Private+PG+%2FHostel+in+Amravati/@20.9129986,77.6893144,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a4c758daee11:0x3c5b192fcd30e19a!8m2!3d20.9129986!4d77.7614122!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbOABAA!16s%2Fg%2F1vhlwm_4?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
AAJOL Boys Hostel(आजोळ),"
Gadge Nagar Lane, behind Namdeo Maharaj Mandir, Maharashtra 444603","
088064 82888","https://www.google.com/maps/place/AAJOL+Boys+Hostel(%E0%A4%86%E0%A4%9C%E0%A5%8B%E0%A4%B3)/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a35cd96b971f:0xa6238af9d3f26cb8!8m2!3d20.9475177!4d77.7649497!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJsYlZsUU5tUlJFQUXgAQD6AQQIIhAw!16s%2Fg%2F11ddzh5n5v?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Skylux Paying Guest ( Amravati ) | PG Room for Girls | PG for Girl's | Room on rent | Budget Girl's hostel,"
1st Floor 11, behind Goverment College of Pharmacy, Kathora Naka, Hollywood Colony, Amravati, Maharashtra 444604","
0721 355 1144","https://www.google.com/maps/place/Skylux+Paying+Guest+(+Amravati+)+%7C+PG+Room+for+Girls+%7C+PG+for+Girl's+%7C+Room+on+rent+%7C+Budget+Girl's+hostel/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a3be65522b83:0x83e25263d07572c2!8m2!3d20.961921!4d77.7550719!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMTRjbEpJV25oT1Z6bG9XbXBqZDFkSGQzaE9WekZ1Vm10YWRGVXhSUkFC4AEA-gEFCLUBEDo!16s%2Fg%2F11ksl4c12f?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Suhani residency girls hostel (PG) Amravati,"
near adiwasi girls hostel, Gadge Nagar, Amravati, Maharashtra 444604",NA,"https://www.google.com/maps/place/Suhani+residency+girls+hostel+(PG)+Amravati/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a35e334ab3e3:0x36e32a324b9352cc!8m2!3d20.9487803!4d77.7681426!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbOABAA!16s%2Fg%2F11msfrr5db?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Satpuda Boys Hostel,"
XQ45+VGG, Siddhivinayak Nagar, Amravati, Maharashtra 444604",NA,"https://www.google.com/maps/place/Satpuda+Boys+Hostel/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a347ac38cb6d:0x9706676196ac1726!8m2!3d20.9571963!4d77.7588173!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVs4AEA!16s%2Fg%2F1vl5f77v?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Doifode Girls Hostel (Amravati),"
11, Kathora Naka, Hollywood Colony, Amravati, Maharashtra 444604","
093701 03025","https://www.google.com/maps/place/Doifode+Girls+Hostel+(Amravati)/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a35fc454cd85:0x1397873ea9394127!8m2!3d20.9620448!4d77.7549609!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbOABAA!16s%2Fg%2F11h4drhffz?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
