PG Name,Address,Contact No,Map Link
Unknown Name,NA,NA,"https://www.google.com/maps/search/PG+in+Vadodara+Gujarat/@22.2940773,73.2127882,13z?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Dwarkesh Pg - best pg and hostel,"
40, Race Course Rd, Race Course, Gautam Nagar, Vadiwadi, Vadodara, Gujarat 390007","
092744 99887","https://www.google.com/maps/place/Dwarkesh+Pg+-+best+pg+and+hostel/@22.3115714,73.0920509,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc79b3fdaa043:0xd8ba1246d7728476!8m2!3d22.3115714!4d73.1641487!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0kgERc3R1ZGVudF9kb3JtaXRvcnngAQA!16s%2Fg%2F11vjnxz9xd?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
YUVA PG CENTRE,"
Gayathri Chamber, 801 to 812, RC Dutt Rd, Alkapuri, Vadodara, Gujarat 390007",NA,"https://www.google.com/maps/place/YUVA+PG+CENTRE/@22.3091007,73.1073451,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc92a201d402f:0xe4a0ad97af7b19d0!8m2!3d22.3091007!4d73.1794429!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0kgELZ3Vlc3RfaG91c2XgAQA!16s%2Fg%2F11ymwbv00w?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Unknown Name,"
Shilalekh, Arunoday Society, Alkapuri, Vadodara, Gujarat 390007",NA,"https://www.google.com/maps/place/Boys+pg+at+vadodara+railway+station/@22.3091007,73.1073451,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc946dc99c50f:0x218616b920f4d025!8m2!3d22.313218!4d73.1790166!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0kgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11ythszwps?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Boys pg at vadodara railway station,"
Shilalekh, Arunoday Society, Alkapuri, Vadodara, Gujarat 390007",NA,"https://www.google.com/maps/place/Boys+pg+at+vadodara+railway+station/@22.3091007,73.1073451,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc946dc99c50f:0x218616b920f4d025!8m2!3d22.313218!4d73.1790166!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0kgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11ythszwps?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Boys pg at vadodara railway station,NA,NA,"https://www.google.com/maps/place/Affordable+PG+in+Vadodara+-+Just+%E2%82%B92000/@22.2367153,73.1082292,13z/data=!3m1!5s0x395fc69db8facb55:0x3e09259bab5b45!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc72d26300faf:0x970ba3aec329017!8m2!3d22.2367153!4d73.180327!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0WhgiFnBnIGluIHZhZG9kYXJhIGd1amFyYXSSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11j137cpzf?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Affordable PG in Vadodara - Just ₹2000,"
House no 5, 3rd floor, purshotam nivas, road, opp. to स्वामीनारायण मंदिर, Makarpura GIDC, Maneja, Vadodara, Gujarat 390013",NA,"https://www.google.com/maps/place/Affordable+PG+in+Vadodara+-+Just+%E2%82%B92000/@22.2367153,73.1082292,13z/data=!3m1!5s0x395fc69db8facb55:0x3e09259bab5b45!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc72d26300faf:0x970ba3aec329017!8m2!3d22.2367153!4d73.180327!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0WhgiFnBnIGluIHZhZG9kYXJhIGd1amFyYXSSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11j137cpzf?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Swami PG Vadodara,"
15B, Ajit Nagar Society, Akota, Vadodara, Gujarat 390007",NA,"https://www.google.com/maps/place/Swami+PG+Vadodara/@22.2367153,73.1082292,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc9f9e33d71ab:0xdc2ac49f03d751ba!8m2!3d22.3015877!4d73.1724878!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0kgELZ3Vlc3RfaG91c2XgAQA!16s%2Fg%2F11y1l9zpp0?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Dwarkesh Elite PG,"
Poonam Apartment, 201, near Mahalaxmi Provision Store, Alkapuri, Gujarat 390007",NA,"https://www.google.com/maps/place/Dwarkesh+Elite+PG/@22.3015877,73.10039,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc9c1233e13ad:0x78b12f4f9cf942c7!8m2!3d22.3142301!4d73.1752054!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0WhgiFnBnIGluIHZhZG9kYXJhIGd1amFyYXSSARFzdHVkZW50X2Rvcm1pdG9yeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSZmJsQlRVM0ZSUlJBQuABAPoBBAgAEDU!16s%2Fg%2F11ww729vx4?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Boys pg at Genda circle (Alkapuri),"
nisarg Duplex, 5, opp. manshurti flats, near Genda Circle, Alkapuri, Vadodara, Gujarat 390007","
070165 83433","https://www.google.com/maps/place/Boys+pg+at+Genda+circle+(Alkapuri)/@22.3175539,73.1023935,13z/data=!4m10!1m2!2m1!1sPG+in+Vadodara+Gujarat!3m6!1s0x395fc9779144aa97:0x9ddef302e8c00875!8m2!3d22.3175539!4d73.1744913!15sChZQRyBpbiBWYWRvZGFyYSBHdWphcmF0WhgiFnBnIGluIHZhZG9kYXJhIGd1amFyYXSSAQtib3lzX2hvc3RlbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSZmFuWnhlbXhCUlJBQuABAPoBBAgAEDA!16s%2Fg%2F11hzh6yhnv?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
