Sr No,PG Name,Address,Contact No,Map Link
1,Pritam Mahila Vasti Graha and Abhyasika(Girls PG/Hostel and Library),"
St Stand Rd, near udgaonkar hospital, near Zee Bazar, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
094226 91671","https://www.google.com/maps/place/Pritam+Mahila+Vasti+Graha+and+Abhyasika(Girls+PG%2FHostel+and+Library)/@16.8550864,74.5278523,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1192978411673:0x841e684a253fdb6b!8m2!3d16.8550864!4d74.5639012!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEMZ2lybHNfaG9zdGVsmgEkQ2hkRFNVaE5NRzluUzBWTmJVeHdkalkwTFhSdFRuRjNSUkFC4AEA-gEECAAQOQ!16s%2Fg%2F11y1m5qsgd?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
2,Pritam Mahila Vasti Graha and Abhyasika(Girls PG/Hostel and Library),"
opp. Gandhi Hospital, near Rajmati Girls High School, Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
098601 03040","https://www.google.com/maps/place/Mauli+Boys+Hostel/@16.8484303,74.5551071,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11972832e9a39:0x4ad06c82ef81551a!8m2!3d16.8484303!4d74.591156!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWyaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRXYmxWWFVteGhNMVkxV0RGQ1EyVlVhSHBSTURGWFRXNVNiMDFXUlJBQuABAPoBBAgAEB4!16s%2Fg%2F11whmp83mp?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
3,Nalanda Womens Hostel,"
Chankyapuri, MSEB Rd, beside Sai Mandir, Chankyapuri Garden, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
090112 29222","https://www.google.com/maps/place/Nalanda+Womens+Hostel/@16.8484303,74.5551071,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1234e47a4d923:0x5450ee61cb179a8c!8m2!3d16.8412984!4d74.5945052!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUnNhalZXU1JBQuABAPoBBAgAEDw!16s%2Fg%2F11y21ynsl6?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
4,Nalanda Womens Hostel,"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Suvarn+Building+(PG)/@16.8571299,74.5360025,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1186a30000001:0xa0f7025629cdef6c!8m2!3d16.8571299!4d74.5720514!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11dd_nsz_m?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
5,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Suvarn+Building+(PG)/@16.8571299,74.5360025,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1186a30000001:0xa0f7025629cdef6c!8m2!3d16.8571299!4d74.5720514!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11dd_nsz_m?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
6,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Parag+Girls+PG/@16.8453007,74.5576111,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc123289d70fc73:0x397e535089b39490!8m2!3d16.8453007!4d74.59366!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQxnaXJsc19ob3N0ZWzgAQA!16s%2Fg%2F11yz9dctkn?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
7,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Krishnai+Niwas+PG/@16.8453007,74.5576111,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc12346a69db00d:0xe60f8cb11e4ff7b6!8m2!3d16.8372608!4d74.6138198!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnngAQA!16s%2Fg%2F11y3nd43r5?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
8,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Krishnai+Niwas+PG/@16.8372608,74.5777709,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc12346a69db00d:0xe60f8cb11e4ff7b6!8m2!3d16.8372608!4d74.6138198!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnngAQA!16s%2Fg%2F11y3nd43r5?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
9,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Amani+Room+Services/@16.8372608,74.5777709,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1239a95394a1b:0xfbfd5e0cf35cbc80!8m2!3d16.8412893!4d74.6233876!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11gm797nht?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
10,Suvarn Building (PG),"
866, A/1B, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
091758 81854","https://www.google.com/maps/place/Amani+Room+Services/@16.8372608,74.5777709,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1239a95394a1b:0xfbfd5e0cf35cbc80!8m2!3d16.8412893!4d74.6233876!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQtib3lzX2hvc3RlbOABAA!16s%2Fg%2F11gm797nht?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
